일자,차익net(억원),비차익net(억원),개별주식net(억원),KOSPInet(억원),KOSPI (우축)
2012-05-22,"-1,287 ","-1,755 ","3,003 ",-39 ,1828.69
2012-05-23,"-1,110 ","-3,351 ",635 ,"-3,825 ",1808.62
2012-05-24,-337 ,"-1,709 ",-275 ,"-2,322 ",1814.47
2012-05-25,-66 ,"-1,187 ",-98 ,"-1,351 ",1824.17
2012-05-29,8 ,-130 ,418 ,296 ,1849.91
2012-05-30,"-1,858 ",78 ,"3,361 ","1,581 ",1844.86
2012-05-31,-825 ,"1,370 ",-747 ,-202 ,1843.47
2012-06-01,"-1,285 ","-1,132 ",404 ,"-2,013 ",1834.51
2012-06-04,184 ,-59 ,"-2,853 ","-2,728 ",1783.13
2012-06-05,264 ,"-1,997 ","-1,467 ","-3,200 ",1801.85
2012-06-07,38 ,"3,238 ",-197 ,"3,079 ",1847.95
2012-06-08,63 ,211 ,-217 ,57 ,1835.64
2012-06-11,52 ,480 ,"1,656 ","2,188 ",1867.04
2012-06-12,-81 ,392 ,-702 ,-391 ,1854.74
2012-06-13,24 ,575 ,968 ,"1,567 ",1859.32
2012-06-14,376 ,"5,617 ","-5,226 ",767 ,1871.48
2012-06-15,225 ,"1,151 ","-3,384 ","-2,007 ",1858.16
2012-06-18,"1,878 ","3,259 ","-1,385 ","3,752 ",1891.71
2012-06-19,310 ,"2,320 ",-698 ,"1,932 ",1891.77
2012-06-20,204 ,"1,962 ",198 ,"2,364 ",1904.12
2012-06-21,"1,262 ",701 ,"-1,701 ",262 ,1889.15
2012-06-22,-129 ,226 ,"-2,499 ","-2,402 ",1847.39
2012-06-25,-659 ,-276 ,"-4,047 ","-4,982 ",1825.38
2012-06-26,-978 ,-168 ,"-1,885 ","-3,030 ",1817.81
2012-06-27,-284 ,"-2,230 ",100 ,"-2,414 ",1817.65
2012-06-28,-67 ,"-1,054 ",497 ,-623 ,1819.18
2012-06-29,-20 ,500 ,"-2,025 ","-1,545 ",1854.01
2012-07-02,-8 ,-655 ,"1,075 ",412 ,1851.65
2012-07-03,-6 ,220 ,31 ,245 ,1867.82
2012-07-04,-17 ,"2,175 ",-424 ,"1,733 ",1874.45
2012-07-05,7 ,252 ,-119 ,140 ,1875.49
2012-07-06,-225 ,"1,450 ","-1,044 ",181 ,1858.2
2012-07-09,-38 ,-486 ,"-2,821 ","-3,345 ",1836.13
2012-07-10,-67 ,752 ,"-1,848 ","-1,162 ",1829.45
2012-07-11,3 ,-809 ,"-1,462 ","-2,268 ",1826.39
2012-07-12,"-1,307 ",-674 ,-433 ,"-2,414 ",1785.39
2012-07-13,-954 ,-668 ,"-1,733 ","-3,355 ",1812.89
2012-07-16,-344 ,"-1,103 ",602 ,-846 ,1817.79
2012-07-17,-13 ,"-1,269 ","4,463 ","3,181 ",1821.96
2012-07-18,-6 ,159 ,-583 ,-430 ,1794.91
2012-07-19,33 ,769 ,-74 ,729 ,1822.96
2012-07-20,78 ,737 ,"1,156 ","1,972 ",1822.93
2012-07-23,-33 ,-350 ,"-1,472 ","-1,854 ",1789.44
2012-07-24,-47 ,903 ,"-1,061 ",-206 ,1793.93
2012-07-25,-99 ,-431 ,-354 ,-884 ,1769.31
2012-07-26,47 ,-259 ,-228 ,-439 ,1782.47
2012-07-27,-68 ,"2,200 ","2,676 ","4,808 ",1829.16
2012-07-30,11 ,"1,289 ","3,633 ","4,933 ",1843.79
2012-07-31,-2 ,"3,070 ","3,128 ","6,196 ",1881.99
2012-08-01,101 ,"1,197 ",-803 ,494 ,1879.93
2012-08-02,46 ,"1,629 ",456 ,"2,131 ",1869.4
2012-08-03,-19 ,"1,034 ","-1,611 ",-596 ,1848.68
2012-08-06,11 ,"1,023 ",610 ,"1,643 ",1885.88
2012-08-07,41 ,268 ,328 ,636 ,1886.8
2012-08-08,"3,039 ","4,070 ",233 ,"7,342 ",1903.23
2012-08-09,"11,248 ","5,530 ","-1,101 ","15,677 ",1940.59
2012-08-10,"2,224 ","4,206 ",168 ,"6,598 ",1946.4
2012-08-13,"1,432 ","2,029 ",-819 ,"2,642 ",1932.44
2012-08-14,"2,271 ","4,589 ","-2,532 ","4,328 ",1956.96
2012-08-16,"1,747 ","2,374 ",-594 ,"3,527 ",1957.91
2012-08-17,"2,702 ","2,191 ",252 ,"5,145 ",1946.54
2012-08-20,"1,273 ","1,781 ","-2,700 ",354 ,1946.31
2012-08-21,"1,183 ","2,673 ","-1,287 ","2,569 ",1943.22
2012-08-22,987 ,"3,014 ","-2,092 ","1,909 ",1935.19
2012-08-23,937 ,-304 ,430 ,"1,063 ",1942.54
2012-08-24,88 ,-677 ,"-1,518 ","-2,107 ",1919.81
2012-08-27,"1,943 ","3,542 ","-1,952 ","3,533 ",1917.87
2012-08-28,-36 ,398 ,"-1,520 ","-1,158 ",1916.33
2012-08-29,-20 ,803 ,"-2,097 ","-1,314 ",1928.54
2012-08-30,24 ,-847 ,-687 ,"-1,510 ",1906.38
2012-08-31,15 ,"1,498 ","-1,968 ",-455 ,1905.12
2012-09-03,0 ,420 ,295 ,715 ,1912.71
2012-09-04,-10 ,631 ,-302 ,319 ,1907.13
2012-09-05,-228 ,-261 ,-69 ,-558 ,1874.03
2012-09-06,-160 ,201 ,"-1,909 ","-1,868 ",1881.24
2012-09-07,-22 ,122 ,"3,007 ","3,107 ",1929.58
2012-09-10,56 ,641 ,"1,448 ","2,145 ",1924.7
2012-09-11,-1 ,876 ,"1,249 ","2,124 ",1920
2012-09-12,37 ,877 ,-253 ,661 ,1950.03
2012-09-13,-209 ,497 ,"1,016 ","1,304 ",1950.69
2012-09-14,"3,365 ","9,082 ",365 ,"12,812 ",2007.58
2012-09-17,42 ,"2,143 ","2,960 ","5,145 ",2002.35
2012-09-18,-5 ,476 ,110 ,581 ,2004.96
2012-09-19,719 ,"2,287 ","-1,264 ","1,742 ",2007.88
2012-09-20,56 ,"1,379 ",-879 ,556 ,1990.33
2012-09-21,567 ,"1,960 ",-847 ,"1,680 ",2002.37
2012-09-24,103 ,-403 ,299 ,-1 ,2003.44
2012-09-25,-20 ,49 ,-152 ,-123 ,1991.41
2012-09-26,56 ,43 ,142 ,241 ,1980.44
2012-09-27,291 ,-50 ,"-1,529 ","-1,288 ",1988.7
2012-09-28,-4 ,"2,055 ",282 ,"2,333 ",1996.21
2012-10-02,17 ,"1,073 ",-612 ,478 ,1996.03
2012-10-04,200 ,285 ,"-1,111 ",-626 ,1992.68
2012-10-05,108 ,253 ,-833 ,-472 ,1995.17
2012-10-08,79 ,142 ,"3,739 ","3,960 ",1981.89
2012-10-09,"1,142 ",564 ,"-2,365 ",-659 ,1979.04
2012-10-10,31 ,193 ,"-1,273 ","-1,049 ",1948.22
2012-10-11,9 ,-620 ,"-1,394 ","-2,005 ",1933.09
2012-10-12,-77 ,-13 ,"-2,789 ","-2,879 ",1933.26
2012-10-15,-12 ,289 ,"-1,988 ","-1,711 ",1925.59
2012-10-16,91 ,375 ,-869 ,-403 ,1941.54
2012-10-17,-21 ,338 ,-70 ,247 ,1955.15
2012-10-18,-6 ,"1,183 ",-643 ,534 ,1959.12
2012-10-19,53 ,-999 ,"-1,254 ","-2,200 ",1943.84
2012-10-22,-7 ,286 ,-989 ,-710 ,1941.59
2012-10-23,23 ,-993 ,424 ,-546 ,1926.81
2012-10-24,-100 ,-407 ,"-2,684 ","-3,191 ",1913.96
2012-10-25,107 ,-28 ,-110 ,-31 ,1924.5
2012-10-26,-15 ,-280 ,"-1,364 ","-1,659 ",1891.43
2012-10-29,-102 ,951 ,"-2,163 ","-1,314 ",1891.52
2012-10-30,31 ,"1,267 ",-267 ,"1,031 ",1899.58
